,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
77,TEXAS,4800158,ARLINGTON CLASSICS ACADEMY,1533,False,0.057729941291585124,tarrant,tarrant,0.53,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
78,TEXAS,4800159,ERATH EXCELS ACADEMY INC,115,False,0.10434782608695652,erath,erath,0.835,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
79,TEXAS,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,13093,False,0.06321545864202245,denton,denton,0.58,TEXAS CITY,46297.0,"Texas City Independent School District / 27,678",TEXAS CITY
80,TEXAS,4800171,RANCH ACADEMY,101,False,0.0891089108910891,van zandt,van zandt,0.875,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
81,TEXAS,4800174,GATEWAY ACADEMY CHARTER DISTRICT,321,False,0.05996884735202492,webb,webb,-0.67,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
82,TEXAS,4800177,ST MARY'S ACADEMY CHARTER SCHOOL,457,False,0.060175054704595186,bee,bee,0.64,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
83,TEXAS,4800179,JUBILEE ACADEMIES,5649,False,0.06744556558682953,bexar,bexar,-0.5700000000000001,,,,
84,TEXAS,4800184,GATEWAY CHARTER ACADEMY,757,False,0.07253632760898282,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
85,TEXAS,4800186,EDUCATION CENTER INTERNATIONAL ACADEMY,544,False,0.06801470588235294,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
86,TEXAS,4800187,NORTH TEXAS COLLEGIATE ACADEMY,526,False,0.07224334600760456,denton,denton,0.58,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
87,TEXAS,4800190,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,445,False,0.07415730337078652,harris,harris,-0.54,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
88,TEXAS,4800192,ACCELERATED INTERMEDIATE ACADEMY,272,False,0.08088235294117647,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
89,TEXAS,4800194,TEXAS PREPARATORY SCHOOL,249,False,0.0963855421686747,hays,hays,-0.54,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
