,LEA_STATE_NAME,LEAID,LEA_NAME,County Name,banned_books,LEA_ENR,SCH_FTETEACH_TOT,overall_TPI,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB,Median Household Income,number_bans
101,TEXAS,4800214,BRAZOS RIVER CHARTER SCHOOL,somervell,FALSE,236,0.065677966,0.855,2.542372881,,0,0,0,0,51528,
102,TEXAS,4800221,EHRHART SCHOOL,jefferson,FALSE,387,0.074935401,0.52,,,0,0,0,0,43523,
103,TEXAS,4800227,BIG SPRINGS CHARTER SCHOOL,kerr,FALSE,233,0.098712446,0.785,6.008583691,,0.858369099,0,0,0,52991,
104,TEXAS,4800231,FORT WORTH ACADEMY OF FINE ARTS,tarrant,FALSE,785,0.113375796,0.53,7.643312102,17.4522293,0,0,0,0,62772,
105,TEXAS,4800232,CEDARS INTERNATIONAL ACADEMY,travis,FALSE,504,0.07234127,-0.705,1.785714286,,0,0,0,0,62772,
106,TEXAS,4800235,ORENDA CHARTER SCHOOL,williamson,FALSE,1658,0.059107358,0.52,6.755126659,17.43063932,0.120627262,0,0,0,43523,
107,TEXAS,4800236,EVOLUTION ACADEMY CHARTER SCHOOL,dallas,FALSE,809,0.036922126,-0.63,4.326328801,,0.618046972,0,0,0,62772,
108,TEXAS,4800237,GOLDEN RULE CHARTER SCHOOL,dallas,FALSE,1441,0.06037474,-0.63,,,0,0,0,0,43523,
109,TEXAS,4800240,PROMISE COMMUNITY SCHOOL,harris,FALSE,1913,0.053842133,-0.54,,,0,0,0,0,73422,
110,TEXAS,4800241,HARMONY SCIENCE ACADEMY (AUSTIN),travis,FALSE,3928,0.072046843,-0.705,8.655804481,8.783095723,0.152749491,0,0,0,62772,
111,TEXAS,4800246,LIGHTHOUSE CHARTER SCHOOL DISTRICT,bexar,FALSE,288,0.076388889,-0.57,,,0,0,0,0,57083,
112,TEXAS,4800248,ST ANTHONY SCHOOL,dallas,FALSE,335,0.056716418,-0.63,,,0,0,0,0,30244,
113,TEXAS,4800251,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,travis,FALSE,294,0.072278912,-0.705,,,0,0,0,0,46297,
114,TEXAS,4800252,TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,travis,FALSE,127,1.118110236,-0.705,8.661417323,0.787401575,0,0,0,0,46297,
115,TEXAS,4800253,TEXAS SCH FOR THE DEAF,travis,FALSE,477,0.236897275,-0.705,8.595387841,,0,0,0,0,46297,
116,TEXAS,4800254,WESTLAKE ACADEMY CHARTER SCHOOL,tarrant,FALSE,853,0.075967175,0.53,9.730363423,18.52286049,0,0,0,0,62772,
117,TEXAS,4800255,EAST FORT WORTH MONTESSORI ACADEMY,tarrant,FALSE,377,0.084880637,0.53,,,0,0,0,0,62772,
118,TEXAS,4800258,SCHOOL OF SCIENCE AND TECHNOLOGY,harris,FALSE,1581,0.081593928,-0.54,0.442757748,9.36116382,0.063251107,0,0,0,57083,
119,TEXAS,4800259,TRINITY CHARTER SCHOOL,harris,FALSE,505,0.118811881,-0.54,0.792079208,,0,0,0,0,43523,
120,TEXAS,4800261,HARRIS COUNTY DEPT OF ED,harris,FALSE,284,0.204225352,-0.54,0,,0,3,0,4,81563,
121,TEXAS,4800262,MEYERPARK ELEMENTARY,harris,FALSE,248,0.052419355,-0.54,,,0,0,0,0,,
122,TEXAS,4800263,DRAW ACADEMY,harris,FALSE,653,0.04287902,-0.54,,,0,0,0,0,62772,
123,TEXAS,4800264,KIPP AUSTIN PUBLIC SCHOOLS INC,harris,FALSE,5167,0.056318947,-0.54,2.844977743,9.928391717,0,10,8,5,53676,
124,TEXAS,4800265,AUSTIN DISCOVERY SCHOOL,travis,FALSE,524,0.110687023,-0.705,,,0,0,0,0,53676,
125,TEXAS,4800266,HARMONY SCIENCE ACAD (SAN ANTONIO),bexar,FALSE,4308,0.06731662,-0.57,7.47446611,9.076137419,0.441039926,0,2,2,50941,
126,TEXAS,4800268,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,bexar,FALSE,2905,0.05211704,-0.57,2.822719449,8.192771084,0,0,0,0,62772,
127,TEXAS,4800270,LA ACADEMIA DE ESTRELLAS,dallas,FALSE,1088,0.057904412,-0.63,,,0.183823529,0,0,0,84665,
128,TEXAS,4800271,RICHLAND COLLEGIATE HIGH SCHOOL,dallas,FALSE,582,0,-0.63,36.76975945,,1.030927835,0,0,0,57083,
129,TEXAS,4800272,HARMONY SCIENCE ACAD (EL PASO),el paso,FALSE,3481,0.074116633,-0.685,4.59638035,5.630565929,0.287273772,1,0,0,50941,
130,TEXAS,4800274,HARMONY SCHOOL OF EXCELLENCE,harris,FALSE,4941,0.06609998,-0.54,7.164541591,6.780004048,0.445253997,0,0,8,50941,
131,TEXAS,4800275,STEP CHARTER SCHOOL,harris,FALSE,469,0.068230277,-0.54,,,0,0,0,0,43523,
132,TEXAS,4800278,CROSSTIMBERS ACADEMY,parker,FALSE,109,0.064220183,0.84,4.587155963,,0,0,0,0,62772,
133,TEXAS,4800279,CORPUS CHRISTI MONTESSORI SCHOOL,nueces,FALSE,146,0.061643836,0.52,,,0,0,0,0,46193,
134,TEXAS,4800283,THE RHODES SCHOOL,harris,FALSE,1181,0.079593565,-0.54,,,0,0,0,0,57083,
135,TEXAS,4800284,AMBASSADORS PREPARATORY ACADEMY,galveston,FALSE,308,0.068181818,0.63,,,0,0,0,0,62772,
136,TEXAS,4800286,LA FE PREPARATORY SCHOOL,el paso,FALSE,249,0.092369478,-0.685,,,0,0,0,0,84665,
137,TEXAS,4800287,TEXAS SCHOOL OF THE ARTS,tarrant,FALSE,346,0.069364162,0.53,,,0.289017341,0,0,0,57083,
138,TEXAS,4800288,CITYSCAPE SCHOOLS,dallas,FALSE,733,0.044515689,-0.63,,,0,0,0,0,,
139,TEXAS,4800289,SEASHORE CHARTER SCHOOLS,nueces,FALSE,488,0.074180328,0.52,,,0.204918033,0,0,0,43523,
140,TEXAS,4800292,HARMONY SCIENCE ACAD (WACO),dallas,FALSE,9624,0.065876974,-0.63,8.312551953,7.948877805,0.561097257,0,4,9,50941,
141,TEXAS,4801394,VISTA DEL FUTURO CHARTER SCHOOL,el paso,FALSE,338,0.076923077,-0.685,,,0,0,0,0,43523,
142,TEXAS,4801395,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,nacogdoches,FALSE,255,0.068235294,0.68,,,0,0,0,0,53676,
143,TEXAS,4801400,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,bexar,FALSE,1694,0.073199528,-0.57,0,1.239669421,0.059031877,0,0,1,55450,
144,TEXAS,4801404,MEADOWLAND CHARTER DISTRICT,bexar,FALSE,139,0.136690647,-0.57,0,,0,0,0,0,55000,
145,TEXAS,4801405,HARMONY SCHOOL OF SCIENCE - HOUSTON,fort bend,FALSE,3406,0.059894304,-0.52,13.65237816,12.83029947,0.117439812,0,0,6,50941,
146,TEXAS,4801407,CHAPEL HILL ACADEMY,tarrant,FALSE,510,0.068627451,0.53,,,0,0,0,0,62772,
147,TEXAS,4801409,TEXAS LEADERSHIP,midland,FALSE,2784,0.06795977,0.8,1.005747126,,0,0,4,13,46297,
148,TEXAS,4801410,BOB HOPE SCHOOL,jefferson,FALSE,976,0.05942623,0.52,12.90983607,,0,0,0,0,57083,
149,TEXAS,4801412,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,bexar,FALSE,137,0.065693431,-0.57,0,11.67883212,0,0,0,0,62772,
150,TEXAS,4801414,Promesa Public Schools,travis,FALSE,764,0.04973822,-0.705,11.38743455,5.759162304,0,0,0,0,,
151,TEXAS,4801415,MANARA ACADEMY,dallas,FALSE,825,0.094545455,-0.63,1.454545455,0.121212121,0,0,0,0,62772,
152,TEXAS,4801416,ARROW ACADEMY,harris,FALSE,635,0.067716535,-0.54,,,0,0,0,0,62772,
153,TEXAS,4801417,COMPASS ACADEMY CHARTER SCHOOL,ector,FALSE,1029,0.052478134,0.735,,,0,0,0,0,62772,
154,TEXAS,4801418,THE LAWSON ACADEMY,harris,FALSE,233,0.082832618,-0.54,,,0,0,0,0,62772,
155,TEXAS,4801420,LEADERSHIP PREP SCHOOL,denton,FALSE,1098,0.06284153,0.58,0,,0,0,0,0,57083,
156,TEXAS,4801421,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,tarrant,FALSE,2714,0.091002211,0.53,3.279292557,0.921149595,0.036845984,0,0,0,62772,
157,TEXAS,4801422,MERIDIAN WORLD SCHOOL LLC,williamson,FALSE,1593,0.065285625,0.52,10.23226616,,0.125549278,0,0,0,42736,
158,TEXAS,4801425,UME PREPARATORY ACADEMY,dallas,FALSE,782,0.057953964,-0.63,0,,0,0,0,0,62772,
159,TEXAS,4801427,UT TYLER UNIVERSITY ACADEMY,anderson,FALSE,703,0.06541963,0.8,3.271692745,,0,0,0,0,62772,
160,TEXAS,4801428,LEGACY PREPARATORY,collin,FALSE,1397,0.062276306,0.57,0,,0,0,0,0,,
161,TEXAS,4801429,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,collin,FALSE,1341,0.055928412,0.57,6.040268456,11.0365399,0,0,0,0,62772,
162,TEXAS,4801431,AUSTIN ACHIEVE PUBLIC SCHOOLS,travis,FALSE,809,0.069221261,-0.705,22.24969098,22.37330037,0.618046972,0,0,0,53676,
163,TEXAS,4801432,TEXAS JUVENILE JUSTICE DEPARTMENT,brown,FALSE,1075,0.10944186,0.875,0,,,0,0,0,46297,
164,TEXAS,4801433,EXCELLENCE IN LEADERSHIP ACADEMY,hidalgo,FALSE,231,0.082251082,-0.625,,,0,0,0,0,62772,
165,TEXAS,4801434,THE PRO-VISION ACADEMY,harris,FALSE,412,0.044660194,-0.54,0,,0,0,0,0,62772,
166,TEXAS,4801435,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,bexar,FALSE,319,0.070532915,-0.57,,,0,0,0,0,62772,
167,TEXAS,4801436,VILLAGE TECH SCHOOLS,dallas,FALSE,921,0.05587405,-0.63,6.948968512,4.777415852,0,0,0,1,,
168,TEXAS,4801438,BASIS TEXAS,bexar,FALSE,2422,0.075970273,-0.57,3.715937242,11.56069364,0,0,1,2,,
169,TEXAS,4801439,EL PASO LEADERSHIP ACADEMY,el paso,FALSE,192,0.078125,-0.685,,,0,0,0,0,62772,
170,TEXAS,4801440,INTERNATIONAL LEADERSHIP OF TEXAS (ILTexas),tarrant,FALSE,16131,0.068093733,0.53,1.196454033,4.26507966,0.092988655,0,0,0,46297,
171,TEXAS,4801441,GREAT HEARTS TEXAS,bexar,FALSE,2757,0.072977875,-0.57,2.647805586,,0,0,0,0,46297,
172,TEXAS,4801442,MONTESSORI FOR ALL,travis,FALSE,545,0.042201835,-0.705,,,0,0,0,0,,
173,TEXAS,4801443,UTPB STEM ACADEMY,ector,FALSE,653,0.050535988,0.735,0,,0.153139357,0,0,0,62772,
174,TEXAS,4801446,BETA ACADEMY,harris,FALSE,549,0.041894353,-0.54,,,0,0,0,0,62772,
175,TEXAS,4801447,KI CHARTER ACADEMY,dallas,FALSE,179,0.118156425,-0.63,0,,0,0,0,0,62772,
176,TEXAS,4801450,HIGH POINT ACADEMY,tarrant,FALSE,966,0.069679089,0.53,0.207039337,0.414078675,0.517598344,0,0,0,62772,
177,TEXAS,4801451,PIONEER TECHNOLOGY & ARTS ACADEMY,dallas,FALSE,289,0.089965398,-0.63,0,,0,0,0,0,62772,
178,TEXAS,4801452,LONE STAR LANGUAGE ACADEMY,collin,FALSE,111,0.075675676,0.57,,,0,0,0,0,62772,
179,TEXAS,4801453,A+ UNLIMITED POTENTIAL,harris,FALSE,157,0.025477707,-0.54,,,0,2,0,0,,
180,TEXAS,4801454,SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,harris,FALSE,140,0.090142857,-0.54,,,0,0,0,0,46069,
181,TEXAS,4801456,TRIVIUM ACADEMY,denton,FALSE,522,0.064597701,0.58,,,0,0,0,0,62772,
182,TEXAS,4801457,COMPASS ROSE ACADEMY,bexar,FALSE,90,0.088888889,-0.57,,,0,0,0,0,62772,
183,TEXAS,4801458,GOODWATER MONTESSORI SCHOOL,williamson,FALSE,299,0.056622074,0.52,,,0,0,0,0,57083,
184,TEXAS,4807350,COLLEGE STATION ISD,brazos,FALSE,13574,0.066096213,0.61,6.556652424,6.114630912,0.677766318,0,52,13,36784,
185,TEXAS,4807380,ABBOTT ISD,hill,FALSE,290,0.079758621,0.82,4.827586207,,0,0,1,0,56250,
