Median Household Income,School District
"$52,123","Bellville Independent School District / 12,884"
"$52,109","Bells Independent School District / 3,701"
"$52,090","Kermit Independent School District / 6,253"
"$52,026","La Grange Independent School District / 12,039"
"$51,967","Duncanville Independent School District / 70,717"
"$51,944","Denver City Independent School District / 5,682"
"$51,832","Abernathy Independent School District / 3,967"
"$51,757","Fort Davis Independent School District / 2,059"
"$51,746","Carthage Independent School District / 16,677"
"$51,742","Henrietta Independent School District / 5,381"
"$51,708","Pine Tree Independent School District / 25,576"
"$51,696","Yantis Independent School District / 2,884"
"$51,678","Tarkington Independent School District / 8,834"
"$51,667","Johnson City Independent School District / 5,492"
"$51,667",Sands Consolidated Independent School District / 451
"$51,607",Loop Independent School District / 661
"$51,594","Crockett County Consolidated Common School District / 3,871"
"$51,549","Bridgeport Independent School District / 11,903"
"$51,528","Brazos Independent School District / 3,840"
"$51,500","Bremond Independent School District / 2,031"
"$51,490","Lancaster Independent School District / 37,411"
"$51,477",Mount Calm Independent School District / 974
"$51,467","Weimar Independent School District / 5,293"
"$51,458","Webb Consolidated Independent School District / 1,278"
"$51,441","Buffalo Independent School District / 5,919"
"$51,425","Goose Creek Consolidated Independent School District / 105,269"
"$51,393","Era Independent School District / 2,091"
"$51,267","Perryton Independent School District / 10,417"
"$51,250",Westphalia Independent School District / 404
"$51,250",Zephyr Independent School District / 817
"$51,217","Banquete Independent School District / 4,709"
"$51,154",Mumford Independent School District / 251
"$51,129","Sheldon Independent School District / 34,072"
"$51,109","Glen Rose Independent School District / 8,535"
"$51,100",Cranfills Gap Independent School District / 791
"$51,086","Cleburne Independent School District / 36,816"
"$51,042",Malta Independent School District / 784
"$51,037","Florence Independent School District / 4,746"
"$51,023",Vysehrad Independent School District / 766
"$51,023",Hallettsville Independent School District (9-12) in Vysehrad / 766
"$50,967","Lockhart Independent School District / 23,826"
"$50,941","Harmony Independent School District / 6,274"
"$50,938",Dew Independent School District / 692
"$50,909","Grand Prairie Independent School District / 125,614"
"$50,905","Miller Grove Independent School District / 1,542"
"$50,840","Iowa Park Consolidated Independent School District / 15,412"
"$50,839","Socorro Independent School District / 194,896"
"$50,785","Devine Independent School District / 8,247"
"$50,743","Friona Independent School District / 4,731"
"$50,688","Sinton Independent School District / 9,991"
"$50,665","Kaufman Independent School District / 16,791"
"$50,662","North Hopkins Independent School District / 2,390"
"$50,658","McLean Independent School District / 1,243"
"$50,652","Evant Independent School District / 1,409"
"$50,585","Splendora Independent School District / 14,053"
"$50,536","Ropes Independent School District / 1,279"
"$50,509","Sterling City Independent School District / 1,360"
"$50,500",Texhoma Independent School District / 390
"$50,492","Axtell Independent School District / 3,173"
"$50,473","May Independent School District / 2,235"
"$50,451","Levelland Independent School District / 16,294"
"$50,444","City View Independent School District / 4,562"
"$50,417","Round Top-Carmine Independent School District / 1,635"
"$50,403","Arlington Independent School District / 347,355"
"$50,386","Tatum Independent School District / 5,047"
"$50,382","Boyd Independent School District / 5,566"
"$50,368","Brookeland Independent School District / 1,898"
"$50,360","Victoria Independent School District / 80,467"
"$50,332","Stockdale Independent School District / 5,215"
"$50,278","Fayetteville Independent School District / 1,743"
"$50,229","Snyder Independent School District / 15,831"
"$50,192","Chester Independent School District / 1,352"
"$50,186","Teague Independent School District / 6,418"
"$50,154","Coldspring-Oakhurst Consolidated Independent School District / 12,408"
"$50,146","Monahans-Wickett-Pyote Independent School District / 10,047"
"$50,139",Ira Independent School District / 459
"$50,114","Hunt Independent School District / 1,398"
"$50,017","Post Independent School District / 6,159"
"$50,000","Anson Independent School District / 3,376"
"$50,000","Aquilla Independent School District / 1,158"
"$50,000",Whitharral Independent School District / 570
"$49,967","Elysian Fields Independent School District / 4,103"
"$49,943","Early Independent School District / 5,646"
"$49,939","Central Independent School District / 7,648"
"$49,821",Midway Independent School District / 890
"$49,781","Lapoynor Independent School District / 3,270"
"$49,740","Lampasas Independent School District / 19,940"
"$49,735","Itasca Independent School District / 3,388"
"$49,717","Princeton Independent School District / 15,472"
"$49,702","Goliad Independent School District / 7,357"
"$49,664","Canutillo Independent School District / 30,535"
"$49,656","Killeen Independent School District / 205,283"
"$49,545","Giddings Independent School District / 9,779"
"$49,523","Ferris Independent School District / 9,680"
"$49,489","Channelview Independent School District / 36,929"
"$49,444","Bland Independent School District / 3,067"
"$49,444","Lorenzo Independent School District / 1,458"
"$49,408","Chico Independent School District / 3,585"
"$49,333","Granger Independent School District / 2,536"
"$49,291","Kilgore Independent School District / 23,564"
"$49,250","Lackland Independent School District / 9,296"
"$49,167","Milford Independent School District / 1,324"
"$49,158","Roosevelt Independent School District / 7,060"
"$49,107","Thrall Independent School District / 2,661"
"$49,063",Cherokee Independent School District / 661
"$49,043","Centerville Independent School District / 4,478"
"$49,014","Deweyville Independent School District / 4,445"
"$49,002","Central Heights Independent School District / 3,686"
"$49,000","Gary Independent School District / 2,428"
"$48,986","Sonora Independent School District / 3,995"
"$48,984","Plemons-Stinnett-Phillips Consolidated Independent School District / 2,158"
"$48,911","Clifton Independent School District / 6,101"
"$48,851","Childress Independent School District / 7,093"
"$48,775","Brenham Independent School District / 31,080"
"$48,673","West Independent School District / 7,859"
"$48,668","Santo Independent School District / 3,065"
"$48,651","Tioga Independent School District / 1,402"
"$48,618","Stratford Independent School District / 2,571"
"$48,617","Gilmer Independent School District / 15,386"
"$48,600","Water Valley Independent School District / 1,835"
"$48,547","Overton Independent School District / 3,272"
"$48,537","Poolville Independent School District / 2,373"
"$48,485","Edgewood Independent School District / 4,780"
"$48,401","Marble Falls Independent School District / 23,700"
"$48,401","Sulphur Bluff Independent School District / 1,419"
"$48,396","Ganado Independent School District / 3,336"
"$48,393",McLeod Independent School District / 836
"$48,359","Mesquite Independent School District / 171,970"
"$48,333",Penelope Independent School District / 553
"$48,333",Santa Gertrudis Independent School District / 81
"$48,289","Prairie Lea Independent School District / 1,250"
"$48,274","Colorado Independent School District / 7,552"
"$48,271","Bandera Independent School District / 17,428"
"$48,253","Dalhart Independent School District / 10,803"
"$48,250","Hawkins Independent School District / 5,815"
"$48,235","Gatesville Independent School District / 22,919"
"$48,144","Warren Independent School District / 5,135"
"$48,125","Edna Independent School District / 8,015"
"$48,125","Saltillo Independent School District / 1,166"
"$48,033","United Independent School District / 164,642"
"$48,000","Jacksboro Independent School District / 6,234"
"$48,000","Somerset Independent School District / 14,376"
"$47,955","Eula Independent School District / 2,962"
"$47,908","Troup Independent School District / 4,556"
"$47,875","Plains Independent School District / 2,321"
"$47,857","East Bernard Independent School District / 4,241"
"$47,803","Grape Creek Independent School District / 5,468"
"$47,712","Medina Independent School District / 2,235"
"$47,705","Taylor Independent School District / 16,885"
"$47,686","Laneville Independent School District / 1,663"
"$47,621","Diboll Independent School District / 10,254"
"$47,614","Graham Independent School District / 13,627"
"$47,585","Hardin Independent School District / 7,306"
"$47,546","Calhoun County Independent School District / 21,569"
"$47,543","Chillicothe Independent School District / 1,068"
"$47,454","Hondo Independent School District / 12,358"
"$47,434",Westhoff Independent School District / 472
"$47,411",Nazareth Independent School District / 806
"$47,386",Nordheim Independent School District / 821
"$47,344","Chisum Independent School District / 3,418"
"$47,344","Woodsboro Independent School District / 2,676"
"$47,317","Dumas Independent School District / 19,741"
"$47,273","Miles Independent School District / 2,221"
"$47,250",Palo Pinto Independent School District / 866
"$47,250","Savoy Independent School District / 1,502"
"$47,206","Campbell Independent School District / 1,768"
"$47,197","Refugio Independent School District / 3,780"
"$47,188","Yorktown Independent School District / 4,092"
"$47,159","Carlisle Independent School District / 2,420"
"$47,083","Graford Independent School District / 2,520"
"$47,034","Llano Independent School District / 17,434"
"$47,031","Kress Independent School District / 1,133"
"$46,968","Stanton Independent School District / 4,108"
"$46,944",Blackwell Consolidated Independent School District / 998
"$46,906","Rains Independent School District / 10,753"
"$46,901","Hitchcock Independent School District / 9,887"
"$46,823","Shiner Independent School District / 3,606"
"$46,818",Hedley Independent School District / 622
"$46,797",Montague Independent School District / 579
"$46,780","Fort Stockton Independent School District / 13,530"
"$46,719","Happy Independent School District / 1,121"
"$46,667","St. Jo Independent School District / 1,718"
"$46,618","Utopia Independent School District / 1,062"
"$46,612","DeKalb Independent School District / 4,388"
"$46,594","Kountze Independent School District / 7,992"
"$46,579",Jayton-Girard Independent School District / 850
"$46,563","Big Sandy Independent School District / 4,992"
"$46,550","Anahuac Independent School District / 5,806"
"$46,474","El Campo Independent School District / 17,415"
"$46,429",Sidney Independent School District / 631
"$46,420",Wellman-Union Consolidated Independent School District / 782
"$46,354","Arp Independent School District / 5,087"
"$46,354","Huckabay Independent School District / 1,544"
"$46,297","Texas City Independent School District / 27,678"
"$46,288","Terrell Independent School District / 25,378"
"$46,275","Quinlan Independent School District / 18,047"
"$46,250",Marathon Independent School District / 679
"$46,250",Walnut Bend Independent School District / 125
"$46,193","Corpus Christi Independent School District / 241,559"
"$46,169","Chireno Independent School District / 1,756"
"$46,131","Cuero Independent School District / 10,560"
"$46,071","Leonard Independent School District / 4,181"
"$46,069","Houston Independent School District / 1,397,288"
"$46,050","Springlake-Earth Independent School District / 1,637"
"$46,025","Groesbeck Independent School District / 10,158"
"$46,023","Oglesby Independent School District / 1,138"
"$45,939","Bowie Independent School District / 10,103"
"$45,926","Van Vleck Independent School District / 5,091"
"$45,901","Waskom Independent School District / 3,826"
"$45,893","Hico Independent School District / 3,773"
"$45,886","Columbus Independent School District / 9,801"
"$45,786","Tahoka Independent School District / 2,962"
"$45,769","Seguin Independent School District / 45,251"
"$45,714","Anton Independent School District / 1,514"
"$45,673",Comstock Independent School District / 620
"$45,598","Honey Grove Independent School District / 3,553"
"$45,541","Hull-Daisetta Independent School District / 2,714"
"$45,539","Borger Independent School District / 14,618"
"$45,481","Roscoe Independent School District / 1,977"
"$45,469","Leary Independent School District / 1,422"
"$45,446","Morgan Independent School District / 1,047"
"$45,375","Harper Independent School District / 3,589"
"$45,375","Roby Consolidated Independent School District / 1,289"
"$45,345","Riesel Independent School District / 1,966"
"$45,341",Moran Independent School District / 470
"$45,313",Mullin Independent School District / 728
"$45,268","Farwell Independent School District / 2,667"
"$45,260","Blooming Grove Independent School District / 3,722"
"$45,250","Covington Independent School District / 1,256"
"$45,237","Pampa Independent School District / 21,236"
"$45,208",McMullen County Independent School District / 646
"$45,168","West Rusk Independent School District / 6,769"
"$45,156",Higgins Independent School District / 586
"$45,155","Yoakum Independent School District / 7,980"
"$45,139","Whitewright Independent School District / 3,726"
"$45,131","Big Spring Independent School District / 29,641"
"$45,076","North Zulch Independent School District / 1,648"
"$45,054","Pettus Independent School District / 1,995"
"$45,039","Pasadena Independent School District / 253,162"
"$44,966","Luling Independent School District / 7,771"
"$44,931",Richland Springs Independent School District / 894
"$44,929","Buna Independent School District / 8,194"
"$44,920","Brownsboro Independent School District / 15,411"
"$44,911","Venus Independent School District / 10,125"
"$44,861",High Island Independent School District / 738
"$44,833","Hallettsville Independent School District / 7,018"
"$44,821","Kennard Independent School District / 2,521"
"$44,821","Louise Independent School District / 2,474"
"$44,821","Snook Independent School District / 2,986"
"$44,812","Three Rivers Independent School District / 4,317"
"$44,803","Flatonia Independent School District / 3,534"
"$44,792","Hidalgo Independent School District / 8,671"
"$44,773","D'Hanis Independent School District / 1,680"
"$44,712",Avalon Independent School District / 740
"$44,707","Pecos-Barstow-Toyah Independent School District / 13,707"
"$44,651","Vidor Independent School District / 25,661"
"$44,643","Schleicher Independent School District / 3,281"
"$44,639","Goldthwaite Independent School District / 3,370"
"$44,606","Center Point Independent School District / 3,868"
"$44,583","Detroit Independent School District / 2,289"
"$44,583","George West Independent School District / 6,869"
"$44,583","Haskell Consolidated Independent School District / 4,319"
"$44,577","Leon Independent School District / 3,910"
"$44,561","Smithville Independent School District / 10,322"
"$44,516","Jonesboro Independent School District / 1,040"
"$44,492","Harleton Independent School District / 3,672"
"$44,491","Spearman Independent School District / 3,770"
"$44,471","Cross Roads Independent School District / 3,242"
"$44,468","Sulphur Springs Independent School District / 23,454"
"$44,444","Port Aransas Independent School District / 3,834"
"$44,444","Seagraves Independent School District / 2,736"
"$44,433","Whitesboro Independent School District / 9,220"
"$44,401","Clyde Consolidated Independent School District / 13,346"
"$44,395","Ennis Independent School District / 27,178"
"$44,334","Mineola Independent School District / 8,968"
